brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
Jaipur Print,Jaipur Print Cotton Floral King sized Double Bedsheet,June 2016,Home Furnishing,2599.0,698.0,73.14351673720661,False,,
Shilpi,Shilpi NHSCN003 Coin Bank,June 2016,Pens & Stationery,900.0,650.0,27.77777777777778,False,,
Jaipur Print,Jaipur Print Cotton Floral King sized Double Bedsheet,June 2016,Home Furnishing,2599.0,698.0,73.14351673720661,False,,
Babeezworld,Babeezworld Dungaree Baby Boy's  Combo,May 2016,Baby Care,999.0,499.0,50.050050050050054,False,,
Redbag,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,June 2016,Home Decor & Festive Needs,1600.0,1200.0,25.0,False,,
Proence,"Proence Weight Gainers, Mass Gainers",June 2016,Food & Nutrition,1025.0,949.0,7.414634146341463,False,,
Slim,Discountgod Men's Checkered Casual Shirt,December 2015,Clothing,750.0,590.0,21.333333333333336,False,,
Slim,Silver Streak Men's Printed Casual Denim Shirt,December 2015,Clothing,1299.0,599.0,53.88760585065435,False,,
,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",December 2015,Watches,18995.0,15195.0,20.005264543300868,False,,
,TEN TEN Women's Black Knee Length Boots Boots,December 2015,Footwear,4995.0,1995.0,60.06006006006006,False,,
,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",December 2015,Watches,13699.0,13099.0,4.379881743192934,False,,
,Carlton Boots,December 2015,Footwear,3495.0,1223.0,65.0071530758226,False,,
,Maserati Time R8851116001 Analog Watch  - For Boys,December 2015,Watches,24400.0,24400.0,0.0,False,,
,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",December 2015,Watches,1095.0,595.0,45.662100456621005,False,,
,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",December 2015,Watches,1099.0,449.0,59.14467697907189,False,5.0,5.0
Slim,Reckler Slim Fit Men's Jeans,December 2015,Clothing,5398.0,2599.0,51.85253797702853,False,,
,Quechua Arpenaz Novadry Boots,December 2015,Footwear,2499.0,2250.0,9.963985594237695,False,,
